Order ID,Order Date,CustomerName,State,City,YearMonth,Amount,Profit,Quantity,Year,Month,DayOfWeek
B-25635,2018-04-26,Nidhi,Nagaland,Kohima,2018-04,4090,1274,4,2018,2018-04,Thursday
B-25636,2018-04-26,Nishi,Maharashtra,Mumbai,2018-04,846,-28,7,2018,2018-04,Thursday
B-25637,2018-04-26,Ashmi,Madhya Pradesh,Indore,2018-04,3088,452,4,2018,2018-04,Thursday
B-25638,2018-04-26,Parth,Maharashtra,Pune,2018-04,2635,553,6,2018,2018-04,Thursday
B-25639,2018-04-27,Lisha,Madhya Pradesh,Bhopal,2018-04,800,1043,9,2018,2018-04,Friday
B-25640,2018-04-27,Paridhi,Rajasthan,Jaipur,2018-04,2563,1461,1,2018,2018-04,Friday
B-25641,2018-04-27,Parishi,West Bengal,Kolkata,2018-04,2261,881,5,2018,2018-04,Friday
B-25642,2018-04-28,Ajay,Karnataka,Bangalore,2018-04,441,1483,7,2018,2018-04,Saturday
B-25643,2018-04-29,Kirti,Jammu and Kashmir,Kashmir,2018-04,2241,275,1,2018,2018-04,Sunday
B-25644,2018-04-30,Mayank,Maharashtra,Mumbai,2018-04,3024,255,4,2018,2018-04,Monday
B-25645,2018-05-01,Yaanvi,Madhya Pradesh,Indore,2018-05,2812,628,6,2018,2018-05,Tuesday
B-25646,2018-05-01,Sonal,Bihar,Patna,2018-05,1563,694,2,2018,2018-05,Tuesday
B-25647,2018-05-03,Sharda,Kerala ,Thiruvananthapuram,2018-05,1678,1184,5,2018,2018-05,Thursday
B-25648,2018-05-04,Aditya,Punjab,Chandigarh,2018-05,2756,824,1,2018,2018-05,Friday
B-25649,2018-05-05,Rachna,Haryana,Chandigarh,2018-05,975,186,6,2018,2018-05,Saturday
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,2018-05,4214,147,6,2018,2018-05,Sunday
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,2018-05,234,-11,4,2018,2018-05,Monday
B-25652,2018-05-08,Tushina,Goa,Goa,2018-05,3352,304,8,2018,2018-05,Tuesday
B-25653,2018-05-08,Farah,Nagaland,Kohima,2018-05,2155,1014,4,2018,2018-05,Tuesday
B-25654,2018-05-10,Sabah,Maharashtra,Mumbai,2018-05,1785,1331,8,2018,2018-05,Thursday
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,2018-05,4143,1192,8,2018,2018-05,Friday
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,2018-05,3273,1232,5,2018,2018-05,Friday
B-25657,2018-05-13,Tulika,Madhya Pradesh,Bhopal,2018-05,1221,623,4,2018,2018-05,Sunday
B-25658,2018-05-14,Shefali,Rajasthan,Jaipur,2018-05,3661,728,2,2018,2018-05,Monday
B-25659,2018-05-15,Sanskriti,West Bengal,Kolkata,2018-05,2813,733,3,2018,2018-05,Tuesday
B-25660,2018-05-16,Shruti,Karnataka,Bangalore,2018-05,4043,940,3,2018,2018-05,Wednesday
B-25661,2018-05-17,Subhashree,Jammu and Kashmir,Kashmir,2018-05,1700,-67,4,2018,2018-05,Thursday
B-25662,2018-05-17,Sweta,Maharashtra,Mumbai,2018-05,4998,-143,4,2018,2018-05,Thursday
B-25663,2018-05-19,Pournamasi,Madhya Pradesh,Indore,2018-05,361,1379,5,2018,2018-05,Saturday
B-25664,2018-05-20,Pratyusmita,Bihar,Patna,2018-05,4497,484,4,2018,2018-05,Sunday
B-25665,2018-05-21,Chayanika,Kerala ,Thiruvananthapuram,2018-05,2181,471,8,2018,2018-05,Monday
B-25666,2018-05-22,Tanvi,Punjab,Chandigarh,2018-05,1195,-28,6,2018,2018-05,Tuesday
B-25667,2018-05-23,Anjali,Haryana,Chandigarh,2018-05,3542,614,6,2018,2018-05,Wednesday
B-25668,2018-05-24,Rhea,Himachal Pradesh,Simla,2018-05,4751,972,8,2018,2018-05,Thursday
B-25669,2018-05-25,Piyali,Sikkim,Gangtok,2018-05,3998,-121,7,2018,2018-05,Friday
B-25670,2018-05-25,Charika,Goa,Goa,2018-05,1475,685,8,2018,2018-05,Friday
B-25671,2018-05-27,Mitali,Nagaland,Kohima,2018-05,1216,1036,2,2018,2018-05,Sunday
B-25672,2018-05-28,Akanksha,Andhra Pradesh,Hyderabad,2018-05,537,2,9,2018,2018-05,Monday
B-25673,2018-05-28,Arsheen,Gujarat,Ahmedabad,2018-05,1078,563,1,2018,2018-05,Monday
B-25674,2018-05-28,Mahima,Maharashtra,Pune,2018-05,1276,1052,8,2018,2018-05,Monday
B-25675,2018-05-31,Shreya,Madhya Pradesh,Bhopal,2018-05,4193,1499,4,2018,2018-05,Thursday
B-25676,2018-06-01,Chandni,Rajasthan,Jaipur,2018-06,579,1050,4,2018,2018-06,Friday
B-25677,2018-06-02,Ekta,West Bengal,Kolkata,2018-06,692,1482,5,2018,2018-06,Saturday
B-25678,2018-06-03,Bathina,Karnataka,Bangalore,2018-06,2262,1355,8,2018,2018-06,Sunday
B-25679,2018-06-04,Avni,Maharashtra,Mumbai,2018-06,4084,1264,5,2018,2018-06,Monday
B-25680,2018-06-04,Aayushi,Madhya Pradesh,Indore,2018-06,264,1225,8,2018,2018-06,Monday
B-25681,2018-06-04,Bhawna,Madhya Pradesh,Indore,2018-06,2768,-154,1,2018,2018-06,Monday
B-25682,2018-06-07,Krutika,Bihar,Patna,2018-06,2227,1056,9,2018,2018-06,Thursday
B-25683,2018-06-08,Shreya,Kerala ,Thiruvananthapuram,2018-06,2895,1128,6,2018,2018-06,Friday
B-25684,2018-06-09,Samiksha,Maharashtra,Mumbai,2018-06,1695,1349,3,2018,2018-06,Saturday
B-25685,2018-06-10,Sheetal,Madhya Pradesh,Indore,2018-06,591,966,8,2018,2018-06,Sunday
B-25686,2018-06-11,Pooja,Himachal Pradesh,Simla,2018-06,4714,1238,9,2018,2018-06,Monday
B-25687,2018-06-11,Sanjna,Maharashtra,Mumbai,2018-06,4674,1336,6,2018,2018-06,Monday
B-25688,2018-06-11,Swetha,Madhya Pradesh,Indore,2018-06,3761,1196,7,2018,2018-06,Monday
B-25689,2018-06-14,Bhaggyasree,Maharashtra,Mumbai,2018-06,2478,1389,1,2018,2018-06,Thursday
B-25690,2018-06-15,Gunjan,Madhya Pradesh,Indore,2018-06,3299,1082,5,2018,2018-06,Friday
B-25691,2018-06-16,Akancha,Maharashtra,Mumbai,2018-06,400,455,5,2018,2018-06,Saturday
B-25692,2018-06-17,Rashmi,Madhya Pradesh,Indore,2018-06,3304,270,4,2018,2018-06,Sunday
B-25693,2018-06-18,Parna,Madhya Pradesh,Bhopal,2018-06,4798,770,6,2018,2018-06,Monday
B-25694,2018-06-18,Subhasmita,Rajasthan,Jaipur,2018-06,2654,835,7,2018,2018-06,Monday
B-25695,2018-06-18,Suhani,West Bengal,Kolkata,2018-06,3845,1153,9,2018,2018-06,Monday
B-25696,2018-06-21,Noopur,Karnataka,Bangalore,2018-06,1004,535,1,2018,2018-06,Thursday
B-25697,2018-06-22,Vijay,Jammu and Kashmir,Kashmir,2018-06,2931,583,6,2018,2018-06,Friday
B-25698,2018-06-23,Amisha,Tamil Nadu,Chennai,2018-06,2973,767,7,2018,2018-06,Saturday
B-25699,2018-06-24,Kritika,Uttar Pradesh,Lucknow,2018-06,1770,157,3,2018,2018-06,Sunday
B-25700,2018-06-25,Shubhi,Maharashtra,Mumbai,2018-06,2890,771,8,2018,2018-06,Monday
B-25701,2018-06-26,Maithilee,Madhya Pradesh,Indore,2018-06,4040,1231,5,2018,2018-06,Tuesday
B-25702,2018-06-27,Shaily,Maharashtra,Mumbai,2018-06,1228,467,9,2018,2018-06,Wednesday
B-25703,2018-06-28,Ekta,Madhya Pradesh,Indore,2018-06,702,172,5,2018,2018-06,Thursday
B-25704,2018-06-29,Riya,Maharashtra,Mumbai,2018-06,4693,831,9,2018,2018-06,Friday
B-25705,2018-06-30,Shweta,Madhya Pradesh,Indore,2018-06,1070,945,4,2018,2018-06,Saturday
B-25706,2018-07-01,Swetlana,Goa,Goa,2018-07,4688,1171,9,2018,2018-07,Sunday
B-25707,2018-07-01,Shivani,Maharashtra,Mumbai,2018-07,406,475,5,2018,2018-07,Sunday
B-25708,2018-07-01,Kishwar,Madhya Pradesh,Indore,2018-07,1684,-111,9,2018,2018-07,Sunday
B-25709,2018-07-01,Aakanksha,Madhya Pradesh,Indore,2018-07,1063,1471,3,2018,2018-07,Sunday
B-25710,2018-07-05,Megha,Maharashtra,Pune,2018-07,2990,497,4,2018,2018-07,Thursday
B-25711,2018-07-06,Sakshi,Madhya Pradesh,Bhopal,2018-07,763,1139,9,2018,2018-07,Friday
B-25712,2018-07-07,Adhvaita,Rajasthan,Jaipur,2018-07,4391,1001,6,2018,2018-07,Saturday
B-25713,2018-07-08,Raksha,West Bengal,Kolkata,2018-07,1957,339,2,2018,2018-07,Sunday
B-25714,2018-07-09,Stuti,Karnataka,Bangalore,2018-07,1878,531,7,2018,2018-07,Monday
B-25715,2018-07-10,Srishti,Jammu and Kashmir,Kashmir,2018-07,3442,668,2,2018,2018-07,Tuesday
B-25716,2018-07-11,Surabhi,Tamil Nadu,Chennai,2018-07,4836,-160,2,2018,2018-07,Wednesday
B-25717,2018-07-12,Manshul,Uttar Pradesh,Lucknow,2018-07,1259,539,1,2018,2018-07,Thursday
B-25718,2018-07-12,Anjali,Maharashtra,Mumbai,2018-07,1922,301,3,2018,2018-07,Thursday
B-25719,2018-07-12,Rashmi,Madhya Pradesh,Indore,2018-07,3514,758,6,2018,2018-07,Thursday
B-25720,2018-07-15,Namrata,Punjab,Chandigarh,2018-07,3357,968,8,2018,2018-07,Sunday
B-25721,2018-07-16,Anchal,Haryana,Chandigarh,2018-07,2825,1024,9,2018,2018-07,Monday
B-25722,2018-07-17,Inderpreet,Himachal Pradesh,Simla,2018-07,2929,728,7,2018,2018-07,Tuesday
B-25723,2018-07-18,Wale,Maharashtra,Mumbai,2018-07,1797,260,4,2018,2018-07,Wednesday
B-25724,2018-07-19,Sheetal,Madhya Pradesh,Indore,2018-07,3260,531,6,2018,2018-07,Thursday
B-25725,2018-07-20,Anisha,Nagaland,Kohima,2018-07,2893,551,5,2018,2018-07,Friday
B-25726,2018-07-21,Kiran,Maharashtra,Mumbai,2018-07,3827,724,8,2018,2018-07,Saturday
B-25727,2018-07-22,Turumella,Madhya Pradesh,Indore,2018-07,1563,708,1,2018,2018-07,Sunday
B-25728,2018-07-22,Ameesha,Maharashtra,Pune,2018-07,2181,1381,1,2018,2018-07,Sunday
B-25729,2018-07-22,Madhulika,Madhya Pradesh,Bhopal,2018-07,1863,1370,6,2018,2018-07,Sunday
B-25730,2018-07-22,Rishabh,Rajasthan,Jaipur,2018-07,1729,1076,2,2018,2018-07,Sunday
B-25731,2018-07-26,Akash,West Bengal,Kolkata,2018-07,2238,189,5,2018,2018-07,Thursday
B-25732,2018-07-27,Anubhaw,Karnataka,Bangalore,2018-07,3502,1417,1,2018,2018-07,Friday
B-25733,2018-07-28,Dhirajendu,Maharashtra,Mumbai,2018-07,2437,682,7,2018,2018-07,Saturday
B-25734,2018-07-29,Pranav,Madhya Pradesh,Indore,2018-07,1506,55,1,2018,2018-07,Sunday
B-25735,2018-07-30,Arindam,Uttar Pradesh,Lucknow,2018-07,4229,508,4,2018,2018-07,Monday
B-25736,2018-07-31,Akshat,Maharashtra,Mumbai,2018-07,2875,249,9,2018,2018-07,Tuesday
B-25737,2018-08-01,Shubham,Madhya Pradesh,Indore,2018-08,1482,-191,1,2018,2018-08,Wednesday
B-25738,2018-08-02,Ayush,Punjab,Chandigarh,2018-08,909,623,4,2018,2018-08,Thursday
B-25739,2018-08-03,Daksh,Haryana,Chandigarh,2018-08,4944,597,6,2018,2018-08,Friday
B-25740,2018-08-03,Rane,Maharashtra,Mumbai,2018-08,4613,1065,6,2018,2018-08,Friday
B-25741,2018-08-03,Navdeep,Madhya Pradesh,Indore,2018-08,3948,1074,8,2018,2018-08,Friday
B-25742,2018-08-03,Ashwin,Goa,Goa,2018-08,4979,676,1,2018,2018-08,Friday
B-25743,2018-08-07,Aman,Nagaland,Kohima,2018-08,863,828,7,2018,2018-08,Tuesday
B-25744,2018-08-08,Devendra,Andhra Pradesh,Hyderabad,2018-08,2198,942,1,2018,2018-08,Wednesday
B-25745,2018-08-09,Kartik,Gujarat,Ahmedabad,2018-08,3645,815,7,2018,2018-08,Thursday
B-25746,2018-08-10,Shivam,Maharashtra,Pune,2018-08,3943,173,3,2018,2018-08,Friday
B-25747,2018-08-11,Harsh,Madhya Pradesh,Bhopal,2018-08,1695,888,8,2018,2018-08,Saturday
B-25748,2018-08-12,Nitant,Rajasthan,Jaipur,2018-08,3504,-55,3,2018,2018-08,Sunday
B-25749,2018-08-13,Ayush,Maharashtra,Mumbai,2018-08,3963,23,1,2018,2018-08,Monday
B-25750,2018-08-14,Priyanshu,Madhya Pradesh,Indore,2018-08,2053,1062,8,2018,2018-08,Tuesday
B-25751,2018-08-14,Nishant,Maharashtra,Mumbai,2018-08,4859,-24,3,2018,2018-08,Tuesday
B-25752,2018-08-14,Vaibhav,Madhya Pradesh,Indore,2018-08,1491,652,2,2018,2018-08,Tuesday
B-25753,2018-08-17,Shivam,Uttar Pradesh,Lucknow,2018-08,3781,1105,1,2018,2018-08,Friday
B-25754,2018-08-18,Akshay,Bihar,Patna,2018-08,3657,-138,3,2018,2018-08,Saturday
B-25755,2018-08-19,Shourya,Kerala ,Thiruvananthapuram,2018-08,1836,1040,2,2018,2018-08,Sunday
B-25756,2018-08-20,Mohan,Maharashtra,Mumbai,2018-08,3896,626,2,2018,2018-08,Monday
B-25757,2018-08-21,Mohit,Madhya Pradesh,Indore,2018-08,3199,594,6,2018,2018-08,Tuesday
B-25758,2018-08-22,Shubham,Himachal Pradesh,Simla,2018-08,3352,488,1,2018,2018-08,Wednesday
B-25759,2018-08-23,Soumya,Sikkim,Gangtok,2018-08,898,1284,2,2018,2018-08,Thursday
B-25760,2018-08-24,Pooja,Goa,Goa,2018-08,2360,1433,6,2018,2018-08,Friday
B-25761,2018-08-25,Surabhi,Maharashtra,Mumbai,2018-08,4297,-96,3,2018,2018-08,Saturday
B-25762,2018-08-26,Anudeep,Madhya Pradesh,Indore,2018-08,4937,922,4,2018,2018-08,Sunday
B-25763,2018-08-27,Noshiba,Gujarat,Ahmedabad,2018-08,1054,310,1,2018,2018-08,Monday
B-25764,2018-08-28,Sanjova,Maharashtra,Pune,2018-08,3674,184,8,2018,2018-08,Tuesday
B-25765,2018-08-29,Meghana,Madhya Pradesh,Bhopal,2018-08,1907,204,7,2018,2018-08,Wednesday
B-25766,2018-08-30,Surabhi,Rajasthan,Jaipur,2018-08,2977,622,7,2018,2018-08,Thursday
B-25767,2018-08-31,Ashmeet,West Bengal,Kolkata,2018-08,1933,317,3,2018,2018-08,Friday
B-25768,2018-09-01,Shreyoshe,Karnataka,Bangalore,2018-09,3710,275,3,2018,2018-09,Saturday
B-25769,2018-09-02,Surbhi,Maharashtra,Mumbai,2018-09,402,508,2,2018,2018-09,Sunday
B-25770,2018-09-02,Sakshi,Madhya Pradesh,Indore,2018-09,3455,1468,1,2018,2018-09,Sunday
B-25771,2018-09-02,Vaibhavi,Uttar Pradesh,Lucknow,2018-09,4418,570,7,2018,2018-09,Sunday
B-25772,2018-09-02,Sanjana,Bihar,Patna,2018-09,4696,1260,7,2018,2018-09,Sunday
B-25773,2018-09-06,Shreya,Kerala ,Thiruvananthapuram,2018-09,966,846,2,2018,2018-09,Thursday
B-25774,2018-09-07,Snehal,Punjab,Chandigarh,2018-09,4589,796,7,2018,2018-09,Friday
B-25775,2018-09-08,Duhita,Haryana,Chandigarh,2018-09,2527,1388,8,2018,2018-09,Saturday
B-25776,2018-09-09,Mousam,Maharashtra,Mumbai,2018-09,3131,476,1,2018,2018-09,Sunday
B-25777,2018-09-10,Aditi,Madhya Pradesh,Indore,2018-09,397,513,9,2018,2018-09,Monday
B-25778,2018-09-11,Surabhi,Maharashtra,Mumbai,2018-09,2130,1281,7,2018,2018-09,Tuesday
B-25779,2018-09-12,Savi,Madhya Pradesh,Indore,2018-09,3782,-118,3,2018,2018-09,Wednesday
B-25780,2018-09-13,Teena,Andhra Pradesh,Hyderabad,2018-09,808,968,8,2018,2018-09,Thursday
B-25781,2018-09-14,Rutuja,Gujarat,Ahmedabad,2018-09,3472,908,7,2018,2018-09,Friday
B-25782,2018-09-15,Aayushi,Maharashtra,Mumbai,2018-09,1347,901,8,2018,2018-09,Saturday
B-25783,2018-09-15,Shivangi,Madhya Pradesh,Indore,2018-09,4482,256,6,2018,2018-09,Saturday
B-25784,2018-09-15,Rohit,Rajasthan,Jaipur,2018-09,3597,-200,9,2018,2018-09,Saturday
B-25785,2018-09-15,Ayush,West Bengal,Kolkata,2018-09,2711,-150,5,2018,2018-09,Saturday
B-25786,2018-09-19,Abhishek,Karnataka,Bangalore,2018-09,1994,484,3,2018,2018-09,Wednesday
B-25787,2018-09-20,Asish,Jammu and Kashmir,Kashmir,2018-09,859,516,3,2018,2018-09,Thursday
B-25788,2018-09-21,Dinesh,Tamil Nadu,Chennai,2018-09,3011,1269,1,2018,2018-09,Friday
B-25789,2018-09-22,Akshay,Uttar Pradesh,Lucknow,2018-09,1569,248,8,2018,2018-09,Saturday
B-25790,2018-09-23,Sajal,Bihar,Patna,2018-09,2186,680,2,2018,2018-09,Sunday
B-25791,2018-09-24,Avish,Kerala ,Thiruvananthapuram,2018-09,346,287,3,2018,2018-09,Monday
B-25792,2018-09-24,Abhishek,Maharashtra,Mumbai,2018-09,3419,-167,8,2018,2018-09,Monday
B-25793,2018-09-24,Siddharth,Madhya Pradesh,Indore,2018-09,3111,1171,8,2018,2018-09,Monday
B-25794,2018-09-24,Aditya,Himachal Pradesh,Simla,2018-09,1934,-106,4,2018,2018-09,Monday
B-25795,2018-09-24,Sukant,Sikkim,Gangtok,2018-09,2043,895,4,2018,2018-09,Monday
B-25796,2018-09-24,Sukrith,Maharashtra,Mumbai,2018-09,688,1374,5,2018,2018-09,Monday
B-25797,2018-09-30,Sauptik,Madhya Pradesh,Indore,2018-09,3176,-47,6,2018,2018-09,Sunday
B-25798,2018-10-01,Shishu,Andhra Pradesh,Hyderabad,2018-10,2159,49,5,2018,2018-10,Monday
B-25799,2018-10-01,Divyansh,Gujarat,Ahmedabad,2018-10,2585,473,7,2018,2018-10,Monday
B-25800,2018-10-01,Ishit,Maharashtra,Pune,2018-10,3119,237,2,2018,2018-10,Monday
B-25801,2018-10-01,Aryan,Madhya Pradesh,Bhopal,2018-10,4936,-83,7,2018,2018-10,Monday
B-25802,2018-10-05,Yash,Maharashtra,Mumbai,2018-10,2002,570,7,2018,2018-10,Friday
B-25803,2018-10-05,Shivanshu,Madhya Pradesh,Indore,2018-10,4261,1129,1,2018,2018-10,Friday
B-25804,2018-10-05,Sudheer,Karnataka,Bangalore,2018-10,3569,67,7,2018,2018-10,Friday
B-25805,2018-10-05,Ankit,Maharashtra,Mumbai,2018-10,462,877,5,2018,2018-10,Friday
B-25806,2018-10-06,Dhanraj,Madhya Pradesh,Indore,2018-10,823,35,3,2018,2018-10,Saturday
B-25807,2018-10-07,Vipul,Uttar Pradesh,Lucknow,2018-10,1216,188,3,2018,2018-10,Sunday
B-25808,2018-10-08,Apsingekar,Bihar,Patna,2018-10,3843,789,4,2018,2018-10,Monday
B-25809,2018-10-09,Suman,Kerala ,Thiruvananthapuram,2018-10,2249,562,2,2018,2018-10,Tuesday
B-25810,2018-10-10,Nripraj,Punjab,Chandigarh,2018-10,3923,200,2,2018,2018-10,Wednesday
B-25811,2018-10-10,Utsav,Maharashtra,Mumbai,2018-10,4748,423,1,2018,2018-10,Wednesday
B-25812,2018-10-10,Kshitij,Madhya Pradesh,Indore,2018-10,3308,566,5,2018,2018-10,Wednesday
B-25813,2018-10-10,Hrisheekesh,Maharashtra,Mumbai,2018-10,4290,1126,4,2018,2018-10,Wednesday
B-25814,2018-10-10,Swapnil,Madhya Pradesh,Indore,2018-10,2256,718,2,2018,2018-10,Wednesday
B-25815,2018-10-10,Harsh,Nagaland,Kohima,2018-10,3370,1030,3,2018,2018-10,Wednesday
B-25816,2018-10-12,Mane,Andhra Pradesh,Hyderabad,2018-10,1882,1052,7,2018,2018-10,Friday
B-25817,2018-10-13,Praneet,Maharashtra,Mumbai,2018-10,2455,652,7,2018,2018-10,Saturday
B-25818,2018-10-14,Sandeep,Madhya Pradesh,Indore,2018-10,1354,377,4,2018,2018-10,Sunday
B-25819,2018-10-15,Ankur,Madhya Pradesh,Bhopal,2018-10,4699,-126,5,2018,2018-10,Monday
B-25820,2018-10-16,Dheeraj,Rajasthan,Jaipur,2018-10,3391,234,5,2018,2018-10,Tuesday
B-25821,2018-10-16,Ajay,West Bengal,Kolkata,2018-10,1896,-98,6,2018,2018-10,Tuesday
B-25822,2018-10-18,Tejas,Karnataka,Bangalore,2018-10,4191,1245,9,2018,2018-10,Thursday
B-25823,2018-10-18,Rohan,Maharashtra,Mumbai,2018-10,4923,563,2,2018,2018-10,Thursday
B-25824,2018-10-20,Shyam,Madhya Pradesh,Indore,2018-10,4882,537,5,2018,2018-10,Saturday
B-25825,2018-10-21,Kartik,Madhya Pradesh,Indore,2018-10,1848,605,3,2018,2018-10,Sunday
B-25826,2018-10-22,Tanushree,Maharashtra,Mumbai,2018-10,1645,1129,4,2018,2018-10,Monday
B-25827,2018-10-23,Sheetal,Madhya Pradesh,Indore,2018-10,4399,-103,6,2018,2018-10,Tuesday
B-25828,2018-10-24,Nikita,Punjab,Chandigarh,2018-10,4123,597,8,2018,2018-10,Wednesday
B-25829,2018-10-25,Apoorva,Haryana,Chandigarh,2018-10,453,1158,1,2018,2018-10,Thursday
B-25830,2018-10-26,Aastha,Himachal Pradesh,Simla,2018-10,3383,658,8,2018,2018-10,Friday
B-25831,2018-10-27,Mahima,Sikkim,Gangtok,2018-10,2757,234,7,2018,2018-10,Saturday
B-25832,2018-10-28,Harshita,Maharashtra,Mumbai,2018-10,298,246,1,2018,2018-10,Sunday
B-25833,2018-10-29,Krishna,Madhya Pradesh,Indore,2018-10,2400,1131,2,2018,2018-10,Monday
B-25834,2018-10-29,Ananya,Andhra Pradesh,Hyderabad,2018-10,3161,48,3,2018,2018-10,Monday
B-25835,2018-10-29,Moumita,Gujarat,Ahmedabad,2018-10,4633,-35,1,2018,2018-10,Monday
B-25836,2018-10-29,Arti,Maharashtra,Pune,2018-10,3977,1304,9,2018,2018-10,Monday
B-25837,2018-10-29,Palak,Maharashtra,Mumbai,2018-10,3069,783,8,2018,2018-10,Monday
B-25838,2018-10-29,Sanjana,Madhya Pradesh,Indore,2018-10,3434,1158,2,2018,2018-10,Monday
B-25839,2018-10-30,Pranjali,West Bengal,Kolkata,2018-10,3991,819,9,2018,2018-10,Tuesday
B-25840,2018-10-31,Sneha,Karnataka,Bangalore,2018-10,1156,341,7,2018,2018-10,Wednesday
B-25841,2018-11-01,Ashvini,Maharashtra,Mumbai,2018-11,4267,558,9,2018,2018-11,Thursday
B-25842,2018-11-02,Sheetal,Madhya Pradesh,Indore,2018-11,360,929,6,2018,2018-11,Friday
B-25843,2018-11-03,Mrunal,Maharashtra,Mumbai,2018-11,4693,1386,6,2018,2018-11,Saturday
B-25844,2018-11-03,Swati,Madhya Pradesh,Indore,2018-11,1500,-120,4,2018,2018-11,Saturday
B-25845,2018-11-03,Snel,Kerala ,Thiruvananthapuram,2018-11,4187,-68,2,2018,2018-11,Saturday
B-25846,2018-11-03,Soodesh,Punjab,Chandigarh,2018-11,1727,596,7,2018,2018-11,Saturday
B-25847,2018-11-03,Aniket,Haryana,Chandigarh,2018-11,1418,699,5,2018,2018-11,Saturday
B-25848,2018-11-03,Rohan,Himachal Pradesh,Simla,2018-11,4696,-63,6,2018,2018-11,Saturday
B-25849,2018-11-04,K,Sikkim,Gangtok,2018-11,4935,-17,2,2018,2018-11,Sunday
